0,1,2,3,4,5,6,7,8,9
Yoshimura Maharu,https://tabletennis.guide/ittfplayer/portrait/maharu-yoshimura-117113.jpg?uin=1680536048,131,538.88,Japan,30,right,shakehand,131,attack
Yoshimura Kazuhiro,https://tabletennis.guide/ittfplayer/portrait/kazuhiro-yoshimura-123962.jpg?uin=1680536053,132,324.83,Japan,27,right,shakehand,132,attack
Omotayo Olajide,https://tabletennis.guide/ittfplayer/portrait/olajide-omotayo-113563.jpg?uin=1680536058,133,289.76,Nigeria,28,right,shakehand,133,attack
Hodaei Amir Hossein,https://tabletennis.guide/ittfplayer/portrait/amir-hossein-hodaei-131484.jpg?uin=1680536064,134,230.2,Iran,25,right,shakehand,134,attack
Mengel Steffen,https://tabletennis.guide/ittfplayer/portrait/steffen-mengel-106050.jpg?uin=1680536069,135,221.76,Germany,35,right,shakehand,135,attack
Kao Cheng-Jui,https://tabletennis.guide/ittfplayer/portrait/cheng-jui-kao-132824.jpg?uin=1680536074,136,94.22,Taiwan,19,right,shakehand,136,attack
Suravajjula Snehit,https://tabletennis.guide/ittfplayer/portrait/snehit-suravajjula-123680.jpg?uin=1680536079,137,204.24,India,23,right,shakehand,137,attack
Bobocica Mihai,https://tabletennis.guide/ittfplayer/portrait/mihai-bobocica-101192.jpg?uin=1680536084,138,211.32,Italy,37,right,shakehand,138,attack
Xu Yingbin,https://tabletennis.guide/ittfplayer/portrait/yingbin-xu-131148.jpg?uin=1680536089,139,282.2,China,22,right,shakehand,139,attack
Zhou Kai,https://tabletennis.guide/ittfplayer/portrait/kai-zhou-117345.jpg?uin=1680536096,140,299.51,China,27,right,shakehand,140,attack
Sipos Rares,https://tabletennis.guide/ittfplayer/portrait/rares-sipos-120224.jpg?uin=1680536101,141,207.41,Romania,23,right,shakehand,141,attack
Pletea Cristian,https://tabletennis.guide/ittfplayer/portrait/cristian-pletea-121042.jpg?uin=1680536106,142,266.42,Romania,23,right,shakehand,142,attack
Levenko Andreas,https://tabletennis.guide/ittfplayer/portrait/andreas-levenko-115449.jpg?uin=1680536111,143,214.1,Austria,25,right,shakehand,143,attack
Szocs Hunor,https://tabletennis.guide/ittfplayer/portrait/hunor-szocs-109140.jpg?uin=1680536116,144,222.51,Romania,31,right,shakehand,144,attack
Sai Linwei,https://tabletennis.guide/ittfplayer/portrait/linwei-sai-135674.jpg?uin=1680536121,145,231.58,China,24,right,shakehand,145,attack
Rolland Jules,https://tabletennis.guide/ittfplayer/portrait/jules-rolland-123300.jpg?uin=1680536126,146,170.44,France,23,right,shakehand,146,attack
Kozul Deni,https://tabletennis.guide/ittfplayer/portrait/deni-kozul-118851.jpg?uin=1680536131,147,488.02,Slovenia,26,right,shakehand,147,attack
Liang Guodong,https://tabletennis.guide/ittfplayer/portrait/guodong-liang-136536.jpg?uin=1680536137,148,74.63,China,20,left,penhold,148,attack
Zhmudenko Yaroslav,https://tabletennis.guide/ittfplayer/portrait/yaroslav-zhmudenko-110602.jpg?uin=1680536142,149,241.61,Ukraine,35,right,shakehand,149,attack
Pistej Lubomir,https://tabletennis.guide/ittfplayer/portrait/lubomir-pistej-107445.jpg?uin=1680536147,150,291.76,Slovakia,39,right,shakehand,150,attack
Rassenfosse Adrien,https://tabletennis.guide/ittfplayer/portrait/adrien-rassenfosse-123659.jpg?uin=1680536152,151,143.9,Belgium,20,right,shakehand,151,attack
Grebnev Maksim,https://tabletennis.guide/ittfplayer/portrait/maksim-grebnev-123931.jpg?uin=1680536157,152,130.63,Russia,21,right,shakehand,152,attack
Liu Yebo,https://tabletennis.guide/ittfplayer/portrait/yebo-liu-121591.jpg?uin=1680536163,153,136.61,China,22,left,shakehand,153,attack
Chew Zhe Yu Clarence,https://tabletennis.guide/ittfplayer/portrait/zhe-yu-clarence-chew-113395.jpg?uin=1680536168,154,198.03,Singapore,28,left,shakehand,154,attack
Suzuki Hayate,https://tabletennis.guide/ittfplayer/portrait/hayate-suzuki-135627.jpg?uin=1680536173,155,38.81,Japan,19,right,shakehand,155,attack
Hazin Jeremy,https://tabletennis.guide/ittfplayer/portrait/jeremy-hazin-117604.jpg?uin=1680536178,156,204.75,Canada,23,left,shakehand,156,attack
Pryshchepa Ievgen,https://tabletennis.guide/ittfplayer/portrait/ievgen-pryshchepa-107570.jpg?uin=1680536183,157,232.92,Ukraine,38,right,shakehand,157,attack
Luu Finn,https://tabletennis.guide/ittfplayer/portrait/finn-luu-131798.jpg?uin=1680536188,158,44.22,Australia,19,right,shakehand,158,attack
Alamian Nima,https://tabletennis.guide/ittfplayer/portrait/nima-alamian-112035.jpg?uin=1680536193,159,213.76,Iran,31,right,shakehand,159,attack
Serdaroglu David,https://tabletennis.guide/ittfplayer/portrait/david-serdaroglu-120300.jpg?uin=1680536199,160,148.19,Austria,28,left,shakehand,160,attack
Alkhadrawi Ali,https://tabletennis.guide/ittfplayer/portrait/ali-alkhadrawi-113376.jpg?uin=1680536204,161,180.47,Arabia,26,left,shakehand,161,attack
Deschamps Hugo,https://tabletennis.guide/images/project/boy.png,162,44.32,France,19,right,shakehand,162,attack
Lind Anders,https://tabletennis.guide/ittfplayer/portrait/anders-lind-115029.jpg?uin=1680536214,163,230.63,Denmark,25,left,shakehand,163,attack
Jin Takuya,https://tabletennis.guide/ittfplayer/portrait/takuya-jin-117336.jpg?uin=1680536219,164,303.36,Japan,30,right,shakehand,164,attack
Bourass Aboubaker,https://tabletennis.guide/images/project/boy.png,165,73.78,Tunisia,22,right,shakehand,165,attack
Chirita Iulian,https://tabletennis.guide/ittfplayer/portrait/iulian-chirita-134169.jpg?uin=1680536229,166,80.31,Romania,17,right,shakehand,166,attack
Szudi Adam,https://tabletennis.guide/ittfplayer/portrait/adam-szudi-114717.jpg?uin=1680536234,167,222.02,Hungary,27,right,shakehand,167,attack
Shouman Mohamed,https://tabletennis.guide/ittfplayer/portrait/mohamed-shouman-111887.jpg?uin=1680536239,168,137.61,Egypt,30,right,shakehand,168,attack
Bardet Lilian,https://tabletennis.guide/ittfplayer/portrait/lilian-bardet-122002.jpg?uin=1680536244,169,57.37,France,22,right,shakehand,169,attack
Oba Oba Kizito,https://tabletennis.guide/ittfplayer/portrait/oba-kizito-oba-113472.jpg?uin=1680536249,170,121.32,Cote-d'Ivoire,28,right,shakehand,170,attack
Shu Dean,https://tabletennis.guide/ittfplayer/portrait/dean-shu-117027.jpg?uin=1680536253,171,573.51,Zealand,24,right,shakehand,171,attack
Belrose Ocean,https://tabletennis.guide/images/project/boy.png,172,354.15,Polynesia,30,right,shakehand,172,attack
Loi Geoffrey,https://tabletennis.guide/images/project/boy.png,173,337.37,Guinea,23,right,shakehand,173,attack
Amor Kelsey,https://tabletennis.guide/images/project/boy.png,174,54.38,Zealand,26,left,shakehand,174,attack
Arce Dario,https://tabletennis.guide/images/project/boy.png,175,88.69,Mexico,21,right,shakehand,175,attack
Burgos Nicolas,https://tabletennis.guide/ittfplayer/portrait/nicolas-burgos-133441.jpg?uin=1680536276,176,111.93,Chile,22,right,shakehand,176,attack
Cao Wei,https://tabletennis.guide/ittfplayer/portrait/wei-cao-132137.jpg?uin=1680536281,177,91.37,China,24,left,shakehand,177,attack
